sepallength,sepalwidth,petallength,petalwidth,class
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.8-inf)\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.8-inf)\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.8-inf)\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.8-inf)\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.8-inf)\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.8-inf)\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(-inf-2.6]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(2.6-3.2]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(5.2-6.1]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(-inf-5.2]\'','\'(3.2-3.8]\'','\'(-inf-2.475]\'','\'(-inf-0.7]\'',Iris-setosa
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(-inf-2.6]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
'\'(6.1-7]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(1.3-1.9]\'',Iris-versicolor
'\'(5.2-6.1]\'','\'(2.6-3.2]\'','\'(3.95-5.425]\'','\'(0.7-1.3]\'',Iris-versicolor
